City_Name,Type,Package,Variety,Sub_Variety,Grade,Date,Low_Price,High_Price,Mostly_Low,Mostly_High,Origin,Origin_District,Item_Size,Color,Environment,Unit_of_Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans_Mode,,
BALTIMORE,,24 inch bins,,,,4/29/2017,270,280,270,280,MARYLAND,,lge,,,,,,,,,E,,,
BALTIMORE,,24 inch bins,,,,5/6/2017,270,280,270,280,MARYLAND,,lge,,,,,,,,,E,,,
BALTIMORE,,24 inch bins,HOWDEN TYPE,,,9/24/2016,160,160,160,160,DELAWARE,,med,ORANGE,,,,,,,,N,,,
BALTIMORE,,24 inch bins,HOWDEN TYPE,,,9/24/2016,160,160,160,160,VIRGINIA,,med,ORANGE,,,,,,,,N,,,
BALTIMORE,,24 inch bins,HOWDEN TYPE,,,11/5/2016,90,100,90,100,MARYLAND,,lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,24 inch bins,HOWDEN TYPE,,,11/12/2016,90,100,90,100,MARYLAND,,lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/24/2016,160,170,160,170,MARYLAND,,med,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/24/2016,160,160,160,160,PENNSYLVANIA,,lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/1/2016,160,170,160,170,MARYLAND,,med,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/1/2016,160,160,160,160,PENNSYLVANIA,,lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/8/2016,160,170,160,170,MARYLAND,,med,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/8/2016,160,160,160,160,PENNSYLVANIA,,lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/15/2016,150,160,150,160,MARYLAND,,lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/15/2016,150,170,150,170,MARYLAND,,med,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/22/2016,150,160,150,160,MARYLAND,,lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/22/2016,140,160,140,160,MARYLAND,,med,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/29/2016,100,160,100,160,MARYLAND,,lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/29/2016,130,160,130,160,MARYLAND,,med,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/29/2016,130,130,130,130,MARYLAND,,sml,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/5/2016,120,130,120,130,MARYLAND,,xlge,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/5/2016,100,130,100,130,MARYLAND,,lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/5/2016,90,100,90,100,MARYLAND,,med,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/12/2016,100,120,100,100,MARYLAND,,lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/16/2017,160,160,160,160,MARYLAND,,med-lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/23/2017,160,160,160,160,MARYLAND,,med-lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/30/2017,150,160,150,160,MARYLAND,,lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/30/2017,150,160,150,160,MARYLAND,,med-lge,ORANGE,,,,,,,,N,,,
BALTIMORE,,24 inch bins,HOWDEN WHITE TYPE,,,9/23/2017,160,180,160,180,MARYLAND,,med,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,HOWDEN WHITE TYPE,,,9/30/2017,180,180,180,180,MARYLAND,,med,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,6/3/2017,380,380,380,380,,,xlge,,,,,,,,,E,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,6/10/2017,380,380,380,380,,,xlge,,,,,,,,,E,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,6/17/2017,380,380,380,380,,,xlge,,,,,,,,,E,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,8/19/2017,200,200,200,200,MEXICO,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,8/26/2017,200,350,200,350,MEXICO,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/2/2017,350,350,350,350,MEXICO,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/9/2017,180,180,180,180,MARYLAND,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/9/2017,200,200,200,200,VIRGINIA,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/16/2017,180,200,180,200,MARYLAND,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/16/2017,180,200,180,200,VIRGINIA,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/23/2017,340,340,340,340,MARYLAND,,jbo,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/23/2017,240,250,240,250,MARYLAND,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/23/2017,200,200,200,200,VIRGINIA,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/30/2017,340,340,340,340,MARYLAND,,jbo,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/30/2017,240,250,240,250,MARYLAND,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,CINDERELLA,,,9/30/2017,180,200,180,200,VIRGINIA,,xlge,,,,,,,,,N,,,
BALTIMORE,,50 lb sacks,CINDERELLA,,,8/12/2017,29,29,29,29,COSTA RICA,,lge,,,,,,,,,N,,,
BALTIMORE,,50 lb sacks,CINDERELLA,,,8/12/2017,29,29,29,29,MEXICO,,lge,,,,,,,,,N,,,
BALTIMORE,,50 lb sacks,CINDERELLA,,,8/19/2017,28,29,28,29,COSTA RICA,,lge,,,,,,,,,N,,,
BALTIMORE,,50 lb sacks,CINDERELLA,,,8/26/2017,28,29,28,29,COSTA RICA,,lge,,,,,,,,,N,,,
BALTIMORE,,50 lb sacks,CINDERELLA,,,8/26/2017,29,29,29,29,FLORIDA,,med,,,,,,,,,N,,,
BALTIMORE,,50 lb sacks,CINDERELLA,,,9/2/2017,29,29,29,29,FLORIDA,,med,,,,,,,,,N,,,
BALTIMORE,,50 lb sacks,CINDERELLA,,,9/9/2017,15,15,15,15,VIRGINIA,,lge,,,,,,,,,N,,,
BALTIMORE,,50 lb sacks,CINDERELLA,,,9/16/2017,24,24,24,24,MEXICO,,lge,,,,,,,,,N,,,
BALTIMORE,,50 lb sacks,CINDERELLA,,,9/16/2017,15,15,15,15,VIRGINIA,,lge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,9/24/2016,250,260,250,260,MARYLAND,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,9/24/2016,250,260,250,260,VIRGINIA,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,10/1/2016,250,260,250,260,MARYLAND,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,10/1/2016,250,260,250,260,VIRGINIA,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,10/8/2016,235,260,235,260,MARYLAND,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,10/8/2016,250,260,250,260,VIRGINIA,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,10/15/2016,235,250,235,250,MARYLAND,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,10/22/2016,230,240,230,240,MARYLAND,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,10/29/2016,220,240,220,230,MARYLAND,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,10/29/2016,230,230,230,230,VIRGINIA,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,11/5/2016,200,230,200,230,MARYLAND,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,11/5/2016,200,230,200,230,VIRGINIA,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,11/12/2016,200,200,200,200,MARYLAND,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,11/19/2016,200,200,200,200,MARYLAND,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,11/19/2016,200,230,200,230,VIRGINIA,,xlge,,,,,,,,,N,,,
BALTIMORE,,24 inch bins,FAIRYTALE,,,11/26/2016,210,210,210,210,VIRGINIA,,xlge,,,,,,,,,N,,,
BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,9/24/2016,15,15,15,15,DELAWARE,,med,ORANGE,,,,,,,,N,,,
BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,9/24/2016,18,18,18,18,DELAWARE,,sml,ORANGE,,,,,,,,N,,,
BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/1/2016,18,18,18,18,DELAWARE,,sml,ORANGE,,,,,,,,N,,,
BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/1/2016,17,17,17,17,OHIO,,med,ORANGE,,,,,,,,N,,,
BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/8/2016,15,15,15,15,DELAWARE,,,ORANGE,,,,,,,,N,,,
BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/8/2016,18,18,18,18,DELAWARE,,sml,ORANGE,,,,,,,,N,,,
BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/8/2016,17,17,17,17,OHIO,,med,ORANGE,,,,,,,,N,,,
